left_actor_name,arrow,right_actor_name
Garry Shandling,<->,John Goodman
Garry Shandling,<->,Greg Kinnear
John Lynch,<->,Ian Bannen
John Lynch,<->,Jerome Flynn
John Lynch,<->,Ian Hart
Sean Connery,<->,Rob Brown
Sean Connery,<->,F. Murray Abraham
Sean Connery,<->,Anna Paquin
Tom Cruise,<->,Colin Farrell
Tom Cruise,<->,Samantha Morton
Tom Cruise,<->,Max von Sydow
Laurence Fishburne,<->,Chris Rock
Laurence Fishburne,<->,David Hyde Pierce
Laurence Fishburne,<->,Brandy Norwood
Rob Lowe,<->,Thomas Haden Church
Rob Lowe,<->,Paget Brewster
Rob Lowe,<->,Jordan Ladd
Arnold Schwarzenegger,<->,Nick Stahl
Arnold Schwarzenegger,<->,Kristanna Loken
Arnold Schwarzenegger,<->,Claire Danes
Michael Douglas,<->,Benicio Del Toro
Michael Douglas,<->,Catherine Zeta-Jones
Michael Douglas,<->,Jacob Vargas
Billy Crudup,<->,Patrick Fugit
Billy Crudup,<->,Kate Hudson
Billy Crudup,<->,Frances McDormand
Giovanni Ribisi,<->,Vin Diesel
Giovanni Ribisi,<->,Nia Long
Giovanni Ribisi,<->,Nicky Katt
Samuel L. Jackson,<->,Colm Feore
Samuel L. Jackson,<->,Ann Magnuson
Samuel L. Jackson,<->,Damir Andrei
Sunda Croonquist,<->,Brad Grunberg
